"","Cantón","Poblacion de 15 años y mas","Tasa neta de participacón","Tasa de ocupación","Tasa de desempleo abierto","Porcentaje de población economicamente inactiva","relación de dependencia económica","Sector primario","Sector secundario","Sector terciario","Total hogares","Hogares pobres","Porcentaje de hogares pobres","Grupo clasificado","Población","Nacimientos","Tasa bruta de natalidad","Defunciones","Tasa bruta de mortalidad","muertes_infantiles","Tasa de mortalidad infantil","provincia"
"43","EL GUARCO",31292,55.1323021858622,53.2883804167199,3.34453976350568,44.8676978141378,1.42250173892882,12.1379310344828,28.7136431784108,59.1484257871065,10988,2104.202,0.78568604368463,2,42474,698,16.4335829,135,3.17841503,3,4.3,"Cartago"
"44","HEREDIA",96888,58.8989348526133,57.02770208901,3.17702309606421,41.1010651473867,1.16619353029825,1.20355455812354,22.9525998588312,75.8438455830453,36339,4160.8155,1.55360306125395,1,128546,1875,14.58621816,537,4.177492882,22,11.73,"Heredia"
"45","BARVA",31575,57.7767220902613,56.4117181314331,2.36255001918544,42.2232779097387,1.22880008770487,3.7951942510667,19.5261621378846,76.6786436110487,11553,1488.0264,0.55561280481355,1,41086,564,13.7273037,150,3.650878645,3,5.32,"Heredia"
"46","SANTO DOMINGO",32102,57.1,55.43,2.9,42.9,1.2,2.87894554283732,16.5799514394728,80.5411030176899,11795,1271.501,0.474764585449044,1,44549,494,11.08891333,169,3.793575613,4,8.1,"Heredia"
"47","SANTA BÁRBARA",27695,56.4217367755913,54.879942227839,2.73262511199283,43.5782632244087,1.31940355817228,5.90828343969998,24.5016119481545,69.5901046121455,10289,1554.6679,0.580496013022748,1,37339,507,13.57829615,128,3.428051099,5,9.86,"Heredia"
"48","SAN RAFAEL",35529,57.9019955529286,56.1316107968139,3.05755395683453,42.0980044470714,1.23434765700953,2.5974025974026,21.5313643885072,75.8712330140901,13237,1796.2609,0.670704200426761,1,48924,674,13.77646963,186,3.80181506,3,4.45,"Heredia"
"49","SAN ISIDRO",16172,58.6569379173881,57.3583972297799,2.21378874130297,41.3430620826119,1.17510014758592,4.72186287192755,18.0789133247089,77.1992238033635,5961,769.5651,0.287347202776524,1,20873,251,12.0251042,95,4.55133426,1,3.98,"Heredia"
"50","BELÉN",17469,58.4979105844639,57.0897017573988,2.40728055582738,41.5020894155361,1.11693903513064,3.05825729469568,25.6893612754437,71.2523814298606,6243,575.6046,0.21492447060723,1,24192,337,13.93022487,113,4.670965608,3,8.9,"Heredia"
"51","FLORES",15674,58.9319892816129,57.3561311726426,2.67402836418751,41.0680107183871,1.16921078272166,1.95773081201335,24.0044493882091,74.0378197997775,5876,593.476,0.221597456167126,1,22129,331,14.95774775,80,3.61516562,2,6.04,"Heredia"
"52","SAN PABLO",21923,58.5230123614469,56.8672170779547,2.82930631332814,41.4769876385531,1.15674201091193,1.27536696879763,17.7187775727922,81.0058554584102,8196,745.836,0.278487016017269,1,29026,394,13.57403707,119,4.099772618,5,12.69,"Heredia"
"53","SARAPIQUÍ",39447,50.4778563642355,48.7717697163282,3.37987143431097,49.5221436357645,1.8699779027722,48.0898175580851,9.7770154373928,42.1331670045221,16158,5872.8672,2.19286446617446,3,64488,1175,18.22044411,161,2.496588513,2,1.7,"Guanacaste"
"54","LIBERIA",45580,52.0579201404125,49.5370776656428,4.84238031018206,47.9420798595875,1.65454315576534,8.52562115239825,12.8570795872271,78.6172992603747,16980,3818.5771,1.42581498078784,2,64797,1317,20.32501505,245,3.781039246,12,9.11,"Guanacaste"
"55","NICOYA",38625,43.7203883495146,42.1359223300971,3.62408953632972,56.2796116504854,2.00971161248298,17.1182795698925,14.2672811059908,68.6144393241167,15160,4726.5762,1.76485192712103,3,51371,892,17.36388235,283,5.508944735,7,7.85,"Guanacaste"
"56","SANTA CRUZ",41660,47.5060009601536,45.3960633701392,4.44141276337729,52.4939990398464,1.78429589207215,12.2038917089679,10.8978426395939,76.8982656514382,16929,4540.0896,1.69521986757818,2,58107,897,15.43703857,279,4.801486912,7,7.8,"Guanacaste"
"57","BAGACES",14037,45.892997079148,44.1333618294507,3.83421297733623,54.107002920852,2.03259857187209,29.3946731234867,12.4455205811138,58.1598062953995,5673,2056.4625,0.767860635818616,3,20824,329,15.79907799,89,4.273914714,5,15.2,"Guanacaste"
"58","CARRILLO",27199,46.4943564101621,43.869259899261,5.64605408824925,53.5056435898379,1.93547366756287,13.8199798860208,15.5464297686892,70.63359034529,10345,3082.214,1.15086504216296,3,38068,745,19.57024272,168,4.413155406,7,9.39,"Guanacaste"
"59","CAÑAS",19026,49.8212971722905,48.2182276884264,3.2176389914548,50.1787028277095,1.76411013820023,25.6921735339002,12.9823413996076,61.3254850664923,7372,2074.9365,0.774758625636622,3,29234,522,17.85592119,108,3.694328522,9,17.24,"Guanacaste"
